"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"
0.0227272727272727	0.0454545454545455	0.0454545454545455	0	0.0227272727272727	0.0454545454545455	0	0.0227272727272727	0.0227272727272727	0.0681818181818182	0.0454545454545455	0.0909090909090909	0	0.0454545454545455	0.0681818181818182	0.0227272727272727	0.0909090909090909	0.0454545454545455	0.0681818181818182	0.0681818181818182	0.0227272727272727	0.0454545454545455	0.0454545454545455	0	0.0227272727272727	0.0227272727272727	0.0227272727272727	0.0227272727272727	0.0227272727272727	0.0227272727272727	0	0.0454545454545455	0.0454545454545455	0.0227272727272727	0.0227272727272727	0.0681818181818182	0	0.0227272727272727	0.0227272727272727	0.0227272727272727	0	0.0454545454545455	0.113636363636364	0.0454545454545455	0.0227272727272727	0.0454545454545455	0.0681818181818182	0.0454545454545455	0.0454545454545455	0.0454545454545455
0.0149253731343284	0.0597014925373134	0.0447761194029851	0.0298507462686567	0.0298507462686567	0.0746268656716418	0	0.0298507462686567	0.0298507462686567	0.0447761194029851	0.0746268656716418	0.0746268656716418	0.0149253731343284	0.0746268656716418	0.0597014925373134	0.0298507462686567	0.0597014925373134	0.0447761194029851	0.0597014925373134	0.104477611940299	0.0298507462686567	0.0447761194029851	0.0597014925373134	0.0447761194029851	0.0298507462686567	0.0149253731343284	0.0149253731343284	0.0149253731343284	0.0298507462686567	0.0447761194029851	0.0149253731343284	0.0447761194029851	0.0746268656716418	0.0298507462686567	0.0149253731343284	0.0447761194029851	0.0149253731343284	0.0447761194029851	0.0447761194029851	0.0597014925373134	0	0.0298507462686567	0.0895522388059701	0.0597014925373134	0.0298507462686567	0.0597014925373134	0.0597014925373134	0.0746268656716418	0.0298507462686567	0.0447761194029851
0.0123456790123457	0.0617283950617284	0.037037037037037	0.0617283950617284	0.0246913580246914	0.0740740740740741	0.0123456790123457	0.0246913580246914	0.0246913580246914	0.0493827160493827	0.0617283950617284	0.0617283950617284	0.0123456790123457	0.0617283950617284	0.0617283950617284	0.037037037037037	0.0493827160493827	0.037037037037037	0.0617283950617284	0.0864197530864197	0.0246913580246914	0.0617283950617284	0.0493827160493827	0.037037037037037	0.0246913580246914	0.0123456790123457	0.0246913580246914	0.0246913580246914	0.0246913580246914	0.0493827160493827	0.0123456790123457	0.0493827160493827	0.0864197530864197	0.037037037037037	0.0123456790123457	0.037037037037037	0.0246913580246914	0.0740740740740741	0.0493827160493827	0.0617283950617284	0	0.0246913580246914	0.0740740740740741	0.0493827160493827	0.0493827160493827	0.0493827160493827	0.0493827160493827	0.0864197530864197	0.0246913580246914	0.0617283950617284
0.0217391304347826	0.0652173913043478	0.0326086956521739	0.0543478260869565	0.0543478260869565	0.0760869565217391	0.0108695652173913	0.0326086956521739	0.0217391304347826	0.0543478260869565	0.0652173913043478	0.0543478260869565	0.0108695652173913	0.0543478260869565	0.0652173913043478	0.0434782608695652	0.0652173913043478	0.0434782608695652	0.0543478260869565	0.0869565217391304	0.0217391304347826	0.0543478260869565	0.0543478260869565	0.0543478260869565	0.0326086956521739	0.0108695652173913	0.0217391304347826	0.0217391304347826	0.0326086956521739	0.0434782608695652	0.0326086956521739	0.0652173913043478	0.0869565217391304	0.0543478260869565	0.0108695652173913	0.0434782608695652	0.0434782608695652	0.0652173913043478	0.0434782608695652	0.0543478260869565	0	0.0217391304347826	0.0652173913043478	0.0543478260869565	0.0434782608695652	0.0543478260869565	0.0543478260869565	0.0869565217391304	0.0217391304347826	0.0543478260869565
0.0210526315789474	0.0631578947368421	0.0315789473684211	0.0526315789473684	0.0526315789473684	0.0842105263157895	0.0105263157894737	0.0315789473684211	0.0210526315789474	0.0526315789473684	0.0631578947368421	0.0526315789473684	0.0105263157894737	0.0526315789473684	0.0631578947368421	0.0421052631578947	0.0631578947368421	0.0421052631578947	0.0526315789473684	0.0842105263157895	0.0210526315789474	0.0526315789473684	0.0526315789473684	0.0736842105263158	0.0315789473684211	0.0105263157894737	0.0210526315789474	0.0421052631578947	0.0315789473684211	0.0421052631578947	0.0315789473684211	0.0631578947368421	0.0842105263157895	0.0526315789473684	0.0105263157894737	0.0421052631578947	0.0421052631578947	0.0631578947368421	0.0421052631578947	0.0631578947368421	0	0.0315789473684211	0.0736842105263158	0.0631578947368421	0.0526315789473684	0.0526315789473684	0.0526315789473684	0.0842105263157895	0.0315789473684211	0.0526315789473684
0.0208333333333333	0.0625	0.03125	0.0520833333333333	0.0520833333333333	0.0833333333333333	0.0104166666666667	0.03125	0.0208333333333333	0.0520833333333333	0.0625	0.0520833333333333	0.0104166666666667	0.0520833333333333	0.0625	0.0416666666666667	0.0625	0.0416666666666667	0.0520833333333333	0.0833333333333333	0.0208333333333333	0.0520833333333333	0.0520833333333333	0.0729166666666667	0.0416666666666667	0.0208333333333333	0.0208333333333333	0.0416666666666667	0.03125	0.0416666666666667	0.03125	0.0625	0.0833333333333333	0.0520833333333333	0.0104166666666667	0.0416666666666667	0.0416666666666667	0.0625	0.0416666666666667	0.0729166666666667	0	0.03125	0.0729166666666667	0.0625	0.0520833333333333	0.0625	0.0520833333333333	0.0833333333333333	0.03125	0.0520833333333333
0.0206185567010309	0.0618556701030928	0.0309278350515464	0.0515463917525773	0.0515463917525773	0.0824742268041237	0.0206185567010309	0.0309278350515464	0.0206185567010309	0.0515463917525773	0.0618556701030928	0.0515463917525773	0.0103092783505155	0.0515463917525773	0.0618556701030928	0.0412371134020619	0.0618556701030928	0.0412371134020619	0.0515463917525773	0.0824742268041237	0.0206185567010309	0.0515463917525773	0.0515463917525773	0.0721649484536082	0.0412371134020619	0.0206185567010309	0.0206185567010309	0.0412371134020619	0.0309278350515464	0.0412371134020619	0.0412371134020619	0.0618556701030928	0.0824742268041237	0.0515463917525773	0.0103092783505155	0.0515463917525773	0.0515463917525773	0.0721649484536082	0.0412371134020619	0.0824742268041237	0	0.0309278350515464	0.0721649484536082	0.0618556701030928	0.0515463917525773	0.0721649484536082	0.0515463917525773	0.0824742268041237	0.0309278350515464	0.0515463917525773
0.0166666666666667	0.075	0.05	0.0583333333333333	0.0583333333333333	0.0666666666666667	0.0166666666666667	0.025	0.0166666666666667	0.0583333333333333	0.075	0.0666666666666667	0.00833333333333333	0.0583333333333333	0.075	0.05	0.075	0.0583333333333333	0.075	0.0666666666666667	0.0333333333333333	0.0416666666666667	0.05	0.0666666666666667	0.0833333333333333	0.0333333333333333	0.05	0.05	0.0333333333333333	0.05	0.0416666666666667	0.0833333333333333	0.0833333333333333	0.0583333333333333	0.0416666666666667	0.0583333333333333	0.0583333333333333	0.0666666666666667	0.05	0.0666666666666667	0.00833333333333333	0.0416666666666667	0.0583333333333333	0.1	0.0583333333333333	0.075	0.075	0.075	0.0416666666666667	0.0583333333333333
0.0147058823529412	0.0661764705882353	0.0514705882352941	0.0661764705882353	0.0514705882352941	0.0661764705882353	0.0220588235294118	0.0220588235294118	0.0294117647058824	0.0588235294117647	0.0661764705882353	0.0661764705882353	0.00735294117647059	0.0514705882352941	0.0661764705882353	0.0441176470588235	0.0735294117647059	0.0588235294117647	0.0661764705882353	0.0588235294117647	0.0294117647058824	0.0441176470588235	0.0441176470588235	0.0588235294117647	0.0808823529411765	0.0441176470588235	0.0514705882352941	0.0588235294117647	0.0294117647058824	0.0588235294117647	0.0441176470588235	0.0808823529411765	0.0735294117647059	0.0661764705882353	0.0441176470588235	0.0514705882352941	0.0514705882352941	0.0588235294117647	0.0441176470588235	0.0588235294117647	0.0147058823529412	0.0367647058823529	0.0588235294117647	0.0882352941176471	0.0661764705882353	0.0661764705882353	0.0808823529411765	0.0661764705882353	0.0367647058823529	0.0588235294117647
0.0272108843537415	0.0612244897959184	0.0476190476190476	0.0748299319727891	0.054421768707483	0.0680272108843537	0.0272108843537415	0.0204081632653061	0.0340136054421769	0.054421768707483	0.0680272108843537	0.0748299319727891	0.0136054421768707	0.0476190476190476	0.0680272108843537	0.0408163265306122	0.0680272108843537	0.0612244897959184	0.0612244897959184	0.0612244897959184	0.0340136054421769	0.0476190476190476	0.0408163265306122	0.054421768707483	0.0748299319727891	0.0408163265306122	0.0476190476190476	0.0612244897959184	0.0272108843537415	0.0612244897959184	0.054421768707483	0.0748299319727891	0.0680272108843537	0.0612244897959184	0.0408163265306122	0.0476190476190476	0.054421768707483	0.054421768707483	0.054421768707483	0.0612244897959184	0.0136054421768707	0.0408163265306122	0.0612244897959184	0.0884353741496599	0.0612244897959184	0.0748299319727891	0.0884353741496599	0.0680272108843537	0.0340136054421769	0.0748299319727891
